date,Prospecting - Broad - Rest of World | facebook_cost,Prospecting - Broad - US | facebook_cost,Prospecting - Lookalike - US | facebook_cost,Remarketing - RoW | facebook_cost,Remarketing US | facebook_cost
2021-03-19,0.0,0.0,827.65,407.48,1445.37
2021-03-20,0.0,0.0,0.0,470.21,1526.23
2021-03-21,0.0,0.0,813.31,393.15,1413.45
2021-03-22,243.3,271.67,746.86,480.06,1437.29
2021-03-23,296.28,288.62,0.0,496.98,1443.81
2021-03-24,316.11,300.04,0.0,0.0,1243.48
2021-03-25,296.51,303.3,0.0,492.9,1226.58
2021-03-26,306.1,350.22,0.0,460.03,1193.12
2021-03-27,371.59,423.5,0.0,563.88,1204.01
2021-03-28,411.02,510.8,0.0,521.33,1224.87
2021-03-29,396.2,510.27,0.0,0.0,1239.84
2021-03-30,0.0,476.14,0.0,479.77,1167.92
2021-03-31,414.45,537.15,0.0,0.0,1218.22
2021-04-01,410.42,572.26,0.0,489.04,1174.89
2021-04-02,428.29,602.23,0.0,541.42,1254.31
2021-04-03,426.99,646.96,0.0,565.98,1355.3
2021-04-04,407.35,588.69,0.0,485.06,1272.73
2021-04-05,417.31,631.1,0.0,514.98,1259.55
2021-04-06,394.08,583.39,0.0,495.91,1190.77
2021-04-07,413.05,626.49,0.0,511.28,1209.19
2021-04-08,427.13,625.09,0.0,534.16,1284.06
2021-04-09,397.35,593.39,0.0,484.08,1231.18
2021-04-10,0.0,674.53,0.0,579.01,1270.83
2021-04-11,418.08,614.1,0.0,508.25,1201.91
2021-04-12,0.0,608.91,0.0,0.0,1165.62
2021-04-13,401.16,616.24,0.0,492.93,1200.84
2021-04-14,0.0,610.36,0.0,499.41,1209.17
2021-04-15,0.0,623.28,0.0,506.5,1243.08
2021-04-16,0.0,568.18,0.0,492.06,1260.32
2021-04-17,417.43,662.33,0.0,541.19,1295.84
