date,EU // Agency Types | google_cost,EU // Growth Hacking | google_cost,UK-only // Growth Hacking | google_cost,US // Agency Review Sites | google_cost,US // Agency Types | google_cost,US // Growth Hacking | google_cost
2021-03-24,9.82,4.08,4.22,0.47,106.99,72.66
2021-03-25,128.75,8.19,24.14,22.05,54.32,44.98
2021-03-26,100.24,0.0,0.0,22.65,30.01,0.0
2021-03-27,0.0,0.0,0.0,61.29,24.52,0.0
2021-03-28,0.0,0.0,0.0,17.85,1.64,0.0
2021-03-29,0.0,0.0,0.0,71.3,17.51,0.0
2021-03-30,0.0,0.0,0.0,56.31,374.96,0.0
2021-03-31,20.92,0.0,0.0,35.95,107.26,0.0
2021-04-01,0.0,0.0,0.0,27.12,55.41,0.0
2021-04-02,60.64,0.0,0.0,83.8,23.06,0.0
2021-04-03,27.8,0.0,0.0,32.43,269.08,0.0
2021-04-04,0.0,0.0,0.0,47.56,13.01,0.0
2021-04-05,5.56,0.0,0.0,13.86,19.32,0.0
2021-04-06,0.0,0.0,0.0,23.27,96.95,0.0
2021-04-07,15.63,0.0,0.0,23.19,195.35,0.0
2021-04-08,34.18,0.0,0.0,64.87,67.64,0.0
2021-04-09,0.0,0.0,0.0,66.01,6.44,0.0
2021-04-10,33.75,0.0,0.0,17.36,94.08,0.0
2021-04-11,23.16,0.0,0.0,65.17,145.6,0.0
2021-04-12,3.18,0.0,0.0,41.69,0.0,0.0
2021-04-13,84.52,0.0,0.0,33.49,358.0,0.0
2021-04-14,14.3,0.0,0.0,22.16,168.67,0.0
2021-04-15,28.01,0.0,0.0,48.92,147.89,0.0
2021-04-16,24.3,0.0,0.0,15.11,100.54,0.0
2021-04-17,63.79,0.0,0.0,20.51,199.67,0.0
2021-04-18,35.31,0.0,0.0,51.03,204.27,0.0
2021-04-19,67.57,0.0,0.0,3.31,58.52,0.0
2021-04-20,0.0,0.0,0.0,22.5,232.05,0.0
2021-04-21,8.39,0.0,0.0,46.56,32.37,0.0
2021-04-22,0.0,0.0,0.0,44.41,93.94,0.0
